,BDE-17+25,BDE-28+33,BDE-47,BDE-49,BDE-66,BDE-85,BDE-99,BDE-100,BDE-138,BDE-140,BDE-153,BDE-154,BDE-155,BDE-183,BDE-203,BDE-206,BDE-207,BDE-208,BDE-209
alpha_std,2.4976854494908512e-05,5.953828552794492e-06,2.3207242208498746e-06,3.1608247793115684e-06,4.8199247719190015e-06,2.00181750713357e-06,2.4628540006204107e-06,1.7551067016190553e-06,2.1643171597369994e-06,4.402476799413895e-06,1.719755242063795e-06,2.187564539638525e-06,4.783618144709012e-06,1.7175536468636852e-07,1.2368366718247036e-06,3.551407804978812e-06,7.921500690216729e-06,0.00016869866967598193,4.143031310977225e-06
beta_std,0.01771765084976831,0.00805756651590722,0.00855710367887963,0.00955255638536503,0.011204366191365056,0.012900488618496981,0.010964534215264794,0.010877478592326543,0.015049508152408788,0.019104610331931254,0.011402090372247788,0.013114338562668033,0.015589187308344302,0.006469372391474059,0.010374973947495534,0.038055710916391566,0.02796023711010292,0.06271674974492156,0.06310148734569308
alpha_95_CI,5.0405333050133475e-05,1.201531246411258e-05,4.6834110873847215e-06,6.378802652943822e-06,9.727001991171098e-06,4.039831283527888e-06,4.970240595365255e-06,3.5419487210314456e-06,4.3677688591612214e-06,8.884557875979887e-06,3.4706065873350487e-06,4.41468397117896e-06,9.653732251107569e-06,3.466163588344694e-07,2.4960374567842947e-06,7.167031110474353e-06,1.5986235601790053e-05,0.0003404476985629118,8.360975682887047e-06
beta_95_CI,0.03575566699684308,0.01626082755499492,0.017268934363467374,0.01927783925644666,0.022611326402471394,0.02603424003840634,0.022127325879752666,0.02195164051997352,0.03037113703879318,0.03855466455034666,0.023010349954115602,0.026465806697886687,0.031460253668779144,0.013055722051952597,0.02093754509065878,0.07679953388811793,0.05642604291836394,0.1265675251204695,0.1273439570329728
alpha_significant_flag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
beta_significant_flag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alpha_p_value,6.702148467650357e-08,7.108345956848574e-19,1.9721547599851598e-18,1.2173158489255295e-16,1.0377967775705668e-16,3.0993706144056374e-14,1.2400754772292215e-16,3.2670546199093e-16,2.6308208084016006e-10,1.0782534638012874e-10,2.918537160611933e-15,1.478782035233576e-14,6.316170577316689e-13,2.713674124343063e-17,1.0924060817479106e-08,0.0003734836456051161,0.0006538565388355248,0.003200723577238749,3.318322528953097e-05
beta_p_value,2.141743001544211e-06,3.1763116434261054e-16,4.657524890173951e-16,4.024075180618014e-14,5.24750464344006e-14,8.56578527995042e-12,5.638579812147862e-14,1.240415746170691e-13,6.5366831878100395e-09,1.3762376179383407e-08,7.455737881648833e-14,3.0970138172973435e-12,1.646686239976148e-10,1.6618355047754938e-19,2.8522783097513836e-10,0.00015503385721249186,0.00027068927875645017,0.0015559293386156851,1.4990821435268571e-05
